                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r24.08.1"          1.5000000000000002E+001          1.0000000000000000E+001          1.0000000000000000E+001                       "gfortran"                         "13.3.0"            "x86_64-linux-24.7.1"                       "20240917" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              50          3.4027683792220489E+006          9.9999700629705366E+000          5.7115010396739528E+001          1.1558452188966916E+002          1.7337678283450376E+002          2.3671455771370038E+001          1.9671049704096585E+001         -7.5576307220398409E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698376980560514E+054         -1.2729826312343159E+034          0.0000000000000000E+000         -1.2729826312343159E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              55          4.4985264953909162E+006          9.9999604226284795E+000          5.7114973689407947E+001          1.1558455903228180E+002          1.7337683854842271E+002          2.3671440557926680E+001          1.9671037061680192E+001         -7.4164855907699723E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698372578644596E+054         -1.2729855656201156E+034          0.0000000000000000E+000         -1.2729855656201156E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              60          5.4765711211030455E+006          9.9999518179016036E+000          5.7114940925356969E+001          1.1558459218488406E+002          1.7337688827732612E+002          2.3671426978785608E+001          1.9671025777373824E+001         -7.2639106847996948E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698368649602765E+054         -1.2729881802627572E+034          0.0000000000000000E+000         -1.2729881802627572E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              65          6.3498390604027323E+006          9.9999441349776745E+000          5.7114911671229187E+001          1.1558462178596284E+002          1.7337693267894429E+002          2.3671414854340785E+001          1.9671015701924350E+001         -7.0964982374698327E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698365141467487E+054         -1.2729905139914272E+034          0.0000000000000000E+000         -1.2729905139914272E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              70          7.1311436992672831E+006          9.9999372611291868E+000          5.7114885497796685E+001          1.1558464826982886E+002          1.7337697240474327E+002          2.3671404006697657E+001          1.9671006687500853E+001         -6.9103819415734891E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698362002766349E+054         -1.2729926009171458E+034          0.0000000000000000E+000         -1.2729926009171458E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              75          7.8354005101538282E+006          9.9999310651337652E+000          5.7114861905408297E+001          1.1558467214205351E+002          1.7337700821308033E+002          2.3671394228774584E+001          1.9670998562017878E+001         -6.7009315983329076E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698359173581741E+054         -1.2729944807442625E+034          0.0000000000000000E+000         -1.2729944807442625E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              80          8.4640037099291757E+006          9.9999255347273159E+000          5.7114840847367823E+001          1.1558469344988218E+002          1.7337704017482326E+002          2.3671385501218193E+001          1.9670991309392726E+001         -6.4651229880125050E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698356648314068E+054         -1.2729961609066537E+034          0.0000000000000000E+000         -1.2729961609066537E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              85          9.0281398800234795E+006          9.9999205714928188E+000          5.7114821948935628E+001          1.1558471257249545E+002          1.7337706885874320E+002          2.3671377668716744E+001          1.9670984800560873E+001         -6.1975163606277284E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698354382024942E+054         -1.2729976664109807E+034          0.0000000000000000E+000         -1.2729976664109807E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              90          9.5349104550592825E+006          9.9999161129536560E+000          5.7114804972221499E+001          1.1558472975060258E+002          1.7337709462590388E+002          2.3671370632676044E+001          1.9670978953590257E+001         -5.8942149434229563E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698352346186821E+054         -1.2729990206264020E+034          0.0000000000000000E+000         -1.2729990206264020E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              95          9.9543355593506508E+006          9.9999124228725069E+000          5.7114790921551752E+001          1.1558474396795977E+002          1.7337711595193969E+002          2.3671364809341600E+001          1.9670974114382126E+001         -5.5907257281839506E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698350661238085E+054         -1.2730002321572095E+034          0.0000000000000000E+000         -1.2730002321572095E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
