                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r24.08.1"          1.5000000000000002E+001          1.0000000000000000E+001          7.0000000000000000E+000                       "gfortran"                         "13.3.0"           "aarch64-macos-24.7.1"                       "20240910" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              60          5.4765711211030455E+006          6.9999126911512493E+000          4.5027677032897977E+001          1.3017723410908030E+002          1.9526585116362051E+002          1.8661830891177178E+001          1.5508036623323596E+001         -6.5294327866393997E-001         -7.1071493146602271E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162805307691622E+054         -2.9259693343246853E+034          0.0000000000000000E+000         -2.9259693343246853E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              65          6.3498390604027323E+006          6.9998987691289489E+000          4.5027617329626494E+001          1.3017732041171669E+002          1.9526598061757505E+002          1.8661806147010260E+001          1.5508016060847764E+001         -6.3170770176405322E-001         -7.0449501790966429E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162797244212049E+054         -2.9259832203337738E+034          0.0000000000000000E+000         -2.9259832203337738E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              70          7.1311436992672831E+006          6.9998863131863835E+000          4.5027563913465293E+001          1.3017739762631669E+002          1.9526609643947504E+002          1.8661784008551589E+001          1.5507997663723179E+001         -6.0809964763342528E-001         -6.9860058797389446E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162790029860395E+054         -2.9259956379048705E+034          0.0000000000000000E+000         -2.9259956379048705E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              75          7.8354005101538282E+006          6.9998750855460443E+000          4.5027515764737771E+001          1.3017746722680721E+002          1.9526620084021087E+002          1.8661764053193686E+001          1.5507981080761786E+001         -5.8153179677464384E-001         -6.9296684699567557E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162783526921210E+054         -2.9260068232628745E+034          0.0000000000000000E+000         -2.9260068232628745E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              80          8.4640037099291757E+006          6.9998650639904518E+000          4.5027472788174649E+001          1.3017752935086676E+002          1.9526629402630016E+002          1.8661746241451976E+001          1.5507966279151784E+001         -5.5162054307496622E-001         -6.8763813472261959E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162777722528609E+054         -2.9260168206225396E+034          0.0000000000000000E+000         -2.9260168206225396E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              85          9.0281398800234850E+006          6.9998560701848405E+000          4.5027434219009827E+001          1.3017758510396038E+002          1.9526637765594060E+002          1.8661730256367267E+001          1.5507952995499149E+001         -5.1767587961992001E-001         -6.8257666970798025E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162772513394607E+054         -2.9260257787641704E+034          0.0000000000000000E+000         -2.9260257787641704E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              90          9.5349104550592788E+006          6.9998479909201450E+000          4.5027399571761279E+001          1.3017763518784622E+002          1.9526645278176935E+002          1.8661715896730350E+001          1.5507941062598434E+001         -4.7920351831449154E-001         -6.7777916967149732E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162767833950943E+054         -2.9260338367284945E+034          0.0000000000000000E+000         -2.9260338367284945E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              95          9.9435559681876879E+006          6.9998414760171555E+000          4.5027371633136902E+001          1.3017767557420854E+002          1.9526651336131283E+002          1.8661704317499140E+001          1.5507931440223077E+001         -4.4175614579354006E-001         -6.7371988864976851E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162764060570092E+054         -2.9260410457039364E+034          0.0000000000000000E+000         -2.9260410457039364E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             100          1.0287546989861591E+007          6.9998359918717066E+000          4.5027348114824548E+001          1.3017770957086793E+002          1.9526656435630196E+002          1.8661694570277056E+001          1.5507923340252717E+001         -4.0968551377201962E-001         -6.7015466583010941E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162760884194133E+054         -2.9260458951789531E+034          0.0000000000000000E+000         -2.9260458951789531E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             105          1.0507760042138614E+007          6.9998324810772408E+000          4.5027333059064382E+001          1.3017773133458428E+002          1.9526659700187645E+002          1.8661688330380425E+001          1.5507918154880171E+001         -4.0324626889053822E-001         -6.6779854777503467E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162758850767405E+054         -2.9260500264273205E+034          0.0000000000000000E+000         -2.9260500264273205E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
